Date,Comp_Social,Neg_Social,Neu_Social,Pos_Social
2011-03-11,0.7964,0.0,0.8290000000000001,0.171
2012-02-05,0.3818,0.0,0.89,0.11
2012-02-09,0.7003,0.0,0.818,0.182
2012-02-13,-0.6597,0.162,0.838,0.0
2012-02-19,0.0,0.0,1.0,0.0
2012-02-22,0.0,0.0,1.0,0.0
2012-03-30,0.4939,0.111,0.725,0.16399999999999998
2012-04-01,0.0,0.0,1.0,0.0
2012-04-04,-0.1531,0.184,0.647,0.16899999999999998
2012-04-14,0.8825,0.0,0.74,0.26
2012-05-01,0.8625,0.0,0.6940000000000001,0.306
2012-05-15,0.6486,0.0,0.762,0.238
2012-05-26,-0.7964,0.197,0.8029999999999999,0.0
2012-06-13,0.0,0.0,1.0,0.0
2012-08-01,0.7824,0.0,0.847,0.153
2012-08-24,-0.3818,0.197,0.7190000000000001,0.084
2012-08-27,-0.5574,0.159,0.841,0.0
2012-10-30,0.4404,0.0,0.861,0.139
2012-11-04,0.0,0.129,0.743,0.129
2012-12-17,0.0,0.0,1.0,0.0
2012-12-20,-0.5267,0.185,0.815,0.0
2013-01-02,0.4019,0.0,0.863,0.13699999999999998
2013-01-28,0.872,0.0,0.848,0.152
2013-01-29,0.802,0.038,0.888,0.07400000000000001
2013-03-21,0.8555,0.0,0.785,0.215
2013-04-18,0.8689,0.0,0.926,0.07400000000000001
2013-04-21,-0.8402,0.212,0.7879999999999999,0.0
2013-05-16,0.0,0.0,1.0,0.0
2013-07-31,0.5267,0.0,0.8809999999999999,0.119
2013-08-01,0.8271,0.0,0.7809999999999999,0.219
2013-09-13,-0.29600000000000004,0.095,0.905,0.0
2013-10-24,0.5267,0.0,0.8909999999999999,0.109
2013-11-20,0.4215,0.162,0.615,0.223
2013-11-28,0.0,0.0,1.0,0.0
2014-01-26,0.7351,0.0,0.957,0.043
2014-01-27,0.872,0.0,0.853,0.147
2014-01-28,0.8271,0.0,0.866,0.134
2014-01-29,0.8909999999999999,0.0,0.863,0.13699999999999998
2014-01-30,0.8909999999999999,0.0,0.8640000000000001,0.136
2014-01-31,0.8909999999999999,0.0,0.8640000000000001,0.136
2014-02-03,0.8271,0.0,0.863,0.13699999999999998
2014-02-04,0.926,0.0,0.8640000000000001,0.136
2014-02-05,0.926,0.0,0.865,0.135
2014-02-06,0.8271,0.0,0.863,0.13699999999999998
2014-02-07,0.8271,0.0,0.866,0.134
2014-02-10,0.926,0.0,0.8640000000000001,0.136
2014-02-11,0.8271,0.0,0.866,0.134
2014-02-12,0.926,0.0,0.8640000000000001,0.136
2014-02-13,0.8909999999999999,0.0,0.8640000000000001,0.136
2014-02-14,0.926,0.0,0.865,0.135
2014-02-17,0.8271,0.0,0.8959999999999999,0.104
2014-02-18,0.8271,0.0,0.894,0.106
2014-02-19,0.4404,0.0,0.861,0.139
2014-02-20,0.8909999999999999,0.0,0.901,0.099
2014-02-21,0.8271,0.0,0.861,0.139
2014-02-24,0.8271,0.0,0.861,0.139
2014-02-25,0.8271,0.0,0.861,0.139
2014-02-26,0.4404,0.0,0.861,0.139
2014-02-27,0.4404,0.0,0.861,0.139
2014-02-28,0.8271,0.0,0.861,0.139
2014-03-03,0.9169,0.0,0.8740000000000001,0.126
2014-03-04,0.8271,0.0,0.861,0.139
2014-03-05,0.875,0.0,0.8740000000000001,0.126
2014-03-06,0.8271,0.0,0.861,0.139
2014-03-08,0.4404,0.0,0.861,0.139
2014-03-10,0.8271,0.0,0.861,0.139
2014-03-11,0.926,0.0,0.861,0.139
2014-03-12,0.8271,0.0,0.861,0.139
2014-03-13,0.8271,0.0,0.861,0.139
2014-03-14,0.8271,0.0,0.861,0.139
2014-03-18,0.926,0.0,0.861,0.139
2014-03-19,0.926,0.0,0.861,0.139
2014-03-20,0.8271,0.0,0.861,0.139
2014-03-21,0.926,0.0,0.861,0.139
2014-03-24,0.4404,0.0,0.861,0.139
2014-03-25,0.926,0.0,0.861,0.139
2014-03-26,0.8271,0.0,0.861,0.139
2014-03-27,0.926,0.0,0.861,0.139
2014-03-28,0.8271,0.0,0.861,0.139
2014-03-31,0.926,0.0,0.8859999999999999,0.114
2014-04-01,0.8271,0.0,0.861,0.139
2014-04-02,0.8271,0.0,0.861,0.139
2014-04-03,0.926,0.0,0.8809999999999999,0.119
2014-04-04,0.8271,0.0,0.861,0.139
2014-04-07,0.926,0.0,0.861,0.139
2014-04-09,0.8271,0.0,0.861,0.139
2014-04-10,0.9601,0.0,0.853,0.147
2014-04-11,0.926,0.0,0.861,0.139
2014-04-14,0.8271,0.0,0.861,0.139
2014-04-16,0.8271,0.0,0.861,0.139
2014-04-17,0.8779,0.0,0.856,0.14400000000000002
2014-04-18,0.8271,0.0,0.861,0.139
2014-04-21,0.926,0.0,0.861,0.139
2014-04-23,0.9246,0.017,0.857,0.126
2014-04-24,0.8271,0.0,0.861,0.139
2014-04-25,0.8271,0.0,0.861,0.139
2014-04-28,0.926,0.0,0.861,0.139
2014-04-30,-0.1027,0.155,0.7140000000000001,0.131
2014-05-01,0.926,0.0,0.861,0.139
2014-05-02,0.926,0.0,0.861,0.139
2014-05-05,0.926,0.0,0.861,0.139
2014-05-07,0.926,0.0,0.861,0.139
2014-05-08,0.8271,0.0,0.861,0.139
2014-05-09,0.4404,0.0,0.861,0.139
2014-05-12,0.4404,0.0,0.861,0.139
2014-05-13,0.8271,0.0,0.889,0.111
2014-05-14,0.8271,0.0,0.861,0.139
2014-05-15,0.936,0.0,0.868,0.132
2014-05-16,0.4404,0.0,0.957,0.043
2014-05-19,0.0,0.0,1.0,0.0
2014-05-20,0.0,0.0,1.0,0.0
2014-05-21,0.0,0.0,1.0,0.0
2014-05-22,0.0,0.0,1.0,0.0
2014-05-23,0.0,0.0,1.0,0.0
2014-05-26,0.0,0.0,1.0,0.0
2014-05-27,0.0,0.0,1.0,0.0
2014-05-29,0.0,0.0,1.0,0.0
2014-05-30,0.0,0.0,1.0,0.0
2014-06-02,0.0,0.0,1.0,0.0
2014-06-04,0.0,0.0,1.0,0.0
2014-06-05,0.5719,0.0,0.905,0.095
2014-06-06,0.0,0.0,1.0,0.0
2014-06-09,0.0,0.0,1.0,0.0
2014-06-10,0.0,0.0,1.0,0.0
2014-06-11,0.0,0.0,1.0,0.0
2014-06-12,0.0,0.0,1.0,0.0
2014-06-13,0.0,0.0,1.0,0.0
2014-06-16,0.0,0.0,1.0,0.0
2014-06-17,0.0,0.0,1.0,0.0
2014-06-18,0.0,0.0,1.0,0.0
2014-06-19,0.0,0.0,1.0,0.0
2014-06-20,0.0,0.0,1.0,0.0
2014-06-23,0.0,0.0,1.0,0.0
2014-06-24,0.6068,0.0,0.974,0.026
2014-06-25,0.0,0.0,1.0,0.0
2014-06-26,0.0,0.0,1.0,0.0
2014-06-27,0.0,0.0,1.0,0.0
2014-06-30,0.0,0.0,1.0,0.0
2014-07-01,0.0,0.0,1.0,0.0
2014-07-02,0.0,0.0,1.0,0.0
2014-07-03,0.0,0.0,1.0,0.0
2014-07-04,0.0,0.0,1.0,0.0
