Date,Comp_Social,Neg_Social,Neu_Social,Pos_Social
2009-07-15,0.0,0.0,1.0,0.0
2009-07-23,-0.2263,0.16,0.84,0.0
2009-07-24,0.4939,0.054000000000000006,0.8,0.146
2009-08-25,-0.9618,0.215,0.785,0.0
2009-09-18,-0.9493,0.211,0.789,0.0
2009-09-22,0.3182,0.056,0.835,0.11
2009-10-01,0.5574,0.041,0.833,0.126
2009-10-05,-0.5994,0.094,0.875,0.031
2009-10-06,0.8591,0.0,0.8079999999999999,0.192
2009-10-08,0.4404,0.0,0.892,0.108
2009-10-09,-0.3182,0.081,0.919,0.0
2009-10-10,0.0,0.0,1.0,0.0
2009-10-15,0.0,0.0,1.0,0.0
2009-10-30,-0.7269,0.117,0.83,0.053
2009-11-03,0.0,0.0,1.0,0.0
2009-11-23,0.0516,0.142,0.669,0.188
2009-11-25,0.946,0.0,0.809,0.191
2009-11-30,-0.2732,0.1,0.9,0.0
2009-12-01,0.0,0.0,1.0,0.0
2009-12-09,0.0,0.0,1.0,0.0
2009-12-10,0.3818,0.0,0.89,0.11
2009-12-14,-0.3818,0.153,0.7659999999999999,0.081
2009-12-16,0.0772,0.0,0.929,0.071
2009-12-18,0.7034,0.0,0.745,0.255
2009-12-22,0.0,0.0,1.0,0.0
2009-12-27,0.0,0.0,1.0,0.0
2009-12-29,0.0,0.0,1.0,0.0
2010-01-12,0.0,0.0,1.0,0.0
2010-01-20,0.0,0.0,1.0,0.0
2010-01-22,0.5574,0.0,0.845,0.155
2010-02-03,0.0,0.0,1.0,0.0
2010-02-09,0.0,0.0,1.0,0.0
2010-02-15,-0.8834,0.069,0.898,0.032
2010-02-16,-0.8402,0.047,0.933,0.02
2010-02-17,0.8909999999999999,0.0,0.772,0.228
2010-02-20,0.0,0.0,1.0,0.0
2010-02-24,0.6908,0.0,0.8140000000000001,0.18600000000000005
2010-02-25,0.0,0.0,1.0,0.0
2010-02-26,0.0,0.0,1.0,0.0
2010-02-28,0.0,0.0,1.0,0.0
2010-03-15,-0.2263,0.023,0.977,0.0
