Date,Comp_Social,Neg_Social,Neu_Social,Pos_Social
2009-03-23,0.34,0.0,0.941,0.059
2009-05-24,0.0,0.0,1.0,0.0
2009-07-24,0.765,0.0,0.602,0.398
2009-07-29,0.0,0.0,1.0,0.0
2009-07-31,0.3612,0.0,0.872,0.128
2009-08-04,-0.3254,0.104,0.833,0.063
2009-08-07,-0.5423,0.191,0.809,0.0
2009-08-17,0.0,0.0,1.0,0.0
2009-08-24,0.34,0.0,0.821,0.179
2009-08-25,0.2023,0.0,0.909,0.091
2009-09-07,0.3182,0.13,0.731,0.14
2009-09-08,0.34,0.0,0.87,0.13
2009-09-22,0.0,0.0,1.0,0.0
2009-10-08,0.4019,0.0,0.816,0.184
2009-10-09,-0.6908,0.109,0.8909999999999999,0.0
2009-10-12,0.8689,0.0,0.912,0.08800000000000001
2009-10-20,0.93,0.0,0.866,0.134
2009-10-22,-0.5267,0.116,0.884,0.0
2009-10-23,0.29600000000000004,0.0,0.879,0.121
2009-10-25,0.0,0.0,1.0,0.0
2009-10-27,0.9099,0.0,0.722,0.278
2009-11-11,0.9661,0.0,0.855,0.145
2009-11-12,0.3818,0.0,0.899,0.101
2009-11-15,0.0,0.0,1.0,0.0
2009-11-16,0.3818,0.0,0.985,0.015
2009-11-18,0.0,0.0,1.0,0.0
2009-11-23,0.0,0.0,1.0,0.0
2009-11-30,0.4404,0.0,0.838,0.162
2009-12-16,0.2023,0.0,0.924,0.076
2009-12-24,0.0,0.0,1.0,0.0
2009-12-26,0.926,0.0,0.8759999999999999,0.124
2009-12-27,0.0,0.0,1.0,0.0
2009-12-30,0.0,0.0,1.0,0.0
2009-12-31,0.34,0.0,0.8059999999999999,0.194
2010-01-01,0.0,0.0,1.0,0.0
2010-01-02,0.3818,0.0,0.977,0.023
2010-01-04,0.765,0.0,0.847,0.153
2010-01-05,0.0,0.0,1.0,0.0
2010-01-06,0.0,0.0,1.0,0.0
2010-01-15,0.0,0.0,1.0,0.0
2010-01-29,0.743,0.067,0.583,0.35
2010-02-01,0.0,0.0,1.0,0.0
2010-02-02,0.29600000000000004,0.0,0.901,0.099
2010-02-08,0.0,0.0,1.0,0.0
2010-02-15,0.34,0.0,0.8540000000000001,0.146
2010-02-25,-0.3818,0.153,0.7659999999999999,0.081
2010-02-26,0.765,0.0,0.8959999999999999,0.104
2010-02-28,0.0,0.0,1.0,0.0
2010-03-02,0.9912,0.009000000000000001,0.873,0.119
2010-03-03,0.3818,0.0,0.936,0.064
2010-03-04,0.0,0.0,1.0,0.0
2010-03-05,0.9825,0.0,0.768,0.232
2010-03-09,0.991,0.004,0.917,0.078
2010-03-10,0.926,0.026,0.8759999999999999,0.097
2010-03-23,0.7241,0.044,0.787,0.16899999999999998
2010-03-25,-0.5719,0.085,0.915,0.0
2010-03-31,0.6808,0.0,0.741,0.259
2010-04-01,0.6124,0.0,0.85,0.15
2010-04-09,0.0,0.0,1.0,0.0
2010-04-12,-0.7579,0.173,0.759,0.068
2010-04-15,0.0,0.0,1.0,0.0
2010-04-16,0.7921,0.043,0.7759999999999999,0.181
2010-04-22,0.802,0.033,0.807,0.16
2010-04-29,0.0,0.0,1.0,0.0
2010-05-10,0.4404,0.0,0.888,0.112
2010-05-19,0.0,0.0,1.0,0.0
2010-05-21,0.6597,0.0,0.759,0.241
2010-05-27,0.8074,0.0,0.899,0.101
2010-05-28,0.5106,0.0,0.895,0.105
2010-06-16,0.9595,0.0,0.802,0.198
2010-06-23,0.0,0.0,1.0,0.0
2010-06-25,0.0,0.0,1.0,0.0
2010-06-28,0.34,0.0,0.951,0.049
2010-06-29,0.0,0.0,1.0,0.0
2010-07-01,0.0,0.0,1.0,0.0
2010-07-02,0.0,0.0,1.0,0.0
2010-07-07,0.0,0.0,1.0,0.0
2010-07-08,-0.2023,0.123,0.877,0.0
2010-07-15,-0.2263,0.083,0.917,0.0
2010-07-29,-0.5423,0.209,0.7909999999999999,0.0
2010-08-06,0.8859999999999999,0.0,0.873,0.127
2010-08-09,0.0,0.0,1.0,0.0
2010-08-10,0.9768,0.032,0.86,0.107
2010-08-11,0.8779,0.0,0.957,0.043
2010-08-12,0.7964,0.017,0.921,0.062
2010-08-16,0.0,0.0,1.0,0.0
2010-08-18,0.0,0.0,1.0,0.0
2010-08-19,0.7783,0.0,0.883,0.117
2010-08-22,0.0,0.0,1.0,0.0
2010-08-31,0.0,0.0,1.0,0.0
2010-09-01,0.0,0.0,1.0,0.0
2010-09-03,0.9124,0.0,0.7609999999999999,0.239
2010-09-08,-0.9959,0.225,0.7070000000000001,0.068
2010-09-15,-0.29600000000000004,0.104,0.8959999999999999,0.0
2010-09-17,0.0,0.0,1.0,0.0
2010-09-27,0.0,0.0,1.0,0.0
2010-09-29,0.0,0.0,1.0,0.0
2010-10-01,0.3818,0.0,0.915,0.085
2010-10-02,-0.8957,0.209,0.662,0.129
2010-10-04,0.8271,0.023,0.875,0.102
2010-10-05,-0.8885,0.095,0.905,0.0
2010-10-06,0.7121,0.0,0.935,0.065
2010-10-08,0.7783,0.0,0.767,0.233
2010-10-11,0.9186,0.0,0.904,0.096
2010-10-13,0.0,0.0,1.0,0.0
2010-10-14,0.0,0.0,1.0,0.0
2010-10-18,0.0,0.0,1.0,0.0
2010-10-25,0.872,0.0,0.847,0.153
2010-10-26,0.0,0.0,1.0,0.0
2010-10-29,0.6597,0.021,0.905,0.075
2010-11-01,0.5657,0.08900000000000001,0.752,0.16
2010-11-08,0.6739,0.0,0.799,0.201
2010-11-09,0.7574,0.0,0.857,0.14300000000000002
2010-11-10,0.9559,0.009000000000000001,0.906,0.085
2010-11-11,0.9241,0.025,0.872,0.103
2010-11-12,0.9858,0.0,0.645,0.355
2010-11-13,0.2732,0.0,0.84,0.16
2010-11-15,0.6369,0.0,0.682,0.318
2010-11-19,0.0,0.0,1.0,0.0
2010-11-22,0.6249,0.0,0.779,0.221
2010-11-24,0.0,0.0,1.0,0.0
2010-11-25,0.0,0.0,1.0,0.0
2010-11-26,0.5859,0.0,0.973,0.027000000000000003
2010-11-27,0.8941,0.0,0.895,0.105
2010-11-28,0.0,0.0,1.0,0.0
2010-11-29,0.0,0.0,1.0,0.0
2010-11-30,0.9678,0.0,0.732,0.268
2010-12-01,0.7096,0.08,0.7959999999999999,0.124
2010-12-02,0.4215,0.0,0.8590000000000001,0.141
2010-12-03,0.9992,0.011,0.69,0.299
2010-12-05,0.0,0.0,1.0,0.0
2010-12-06,0.0,0.0,1.0,0.0
2010-12-07,-0.8419,0.376,0.624,0.0
2010-12-08,0.9601,0.0,0.882,0.118
2010-12-09,0.584,0.029,0.925,0.046
2010-12-12,0.0,0.0,1.0,0.0
2010-12-13,0.9927,0.008,0.8079999999999999,0.184
2010-12-14,0.0,0.0,1.0,0.0
2010-12-16,0.0,0.0,1.0,0.0
2010-12-17,0.4767,0.073,0.757,0.17
2010-12-19,0.0,0.0,1.0,0.0
2010-12-28,-0.7783,0.183,0.7190000000000001,0.097
2010-12-29,0.0,0.0,1.0,0.0
2011-01-01,0.4404,0.0,0.959,0.041
2011-01-03,0.128,0.0,0.965,0.035
2011-01-05,0.29600000000000004,0.0,0.932,0.068
2011-01-06,-0.9796,0.295,0.705,0.0
2011-01-07,0.3818,0.025,0.918,0.057
2011-01-08,0.29600000000000004,0.0,0.925,0.075
2011-01-09,0.0,0.0,1.0,0.0
2011-01-10,0.7351,0.0,0.912,0.08800000000000001
2011-01-11,0.0,0.0,1.0,0.0
2011-01-12,0.8481,0.0,0.758,0.242
2011-01-13,0.0,0.0,1.0,0.0
2011-01-14,-0.8957,0.083,0.8809999999999999,0.035
2011-01-16,0.0,0.0,1.0,0.0
2011-01-17,0.1779,0.025,0.94,0.034
2011-01-20,0.0,0.0,1.0,0.0
2011-01-21,0.0,0.0,1.0,0.0
2011-01-27,0.8176,0.063,0.768,0.16899999999999998
2011-01-28,0.7003,0.0,0.868,0.132
2011-01-30,0.0,0.0,1.0,0.0
2011-01-31,0.0,0.0,1.0,0.0
2011-02-01,0.7003,0.059,0.815,0.127
2011-02-02,0.0,0.0,1.0,0.0
2011-02-03,0.5859,0.0,0.92,0.08
2011-02-04,0.7824,0.0,0.866,0.134
2011-02-05,0.0,0.0,1.0,0.0
2011-02-06,0.8625,0.0,0.87,0.13
2011-02-07,0.6901,0.0,0.888,0.112
2011-02-08,0.4404,0.0,0.942,0.058
2011-02-11,0.8442,0.0,0.945,0.055
2011-02-12,0.0,0.0,1.0,0.0
2011-02-13,0.9485,0.0,0.787,0.213
2011-02-14,0.9954,0.021,0.841,0.139
2011-02-15,0.836,0.0,0.934,0.066
2011-02-16,0.5319,0.0,0.963,0.037000000000000005
2011-02-19,0.9042,0.0,0.742,0.258
2011-02-21,0.6486,0.114,0.703,0.182
2011-02-22,-0.2732,0.043,0.957,0.0
2011-02-23,0.5859,0.0,0.941,0.059
2011-02-24,0.9001,0.004,0.971,0.025
2011-02-25,0.9771,0.017,0.8809999999999999,0.103
2011-02-26,0.8625,0.0,0.918,0.08199999999999999
2011-02-27,0.9337,0.0,0.947,0.053
2011-02-28,-0.7096,0.097,0.856,0.046
2011-03-01,-0.2716,0.032,0.968,0.0
2011-03-02,0.0,0.0,1.0,0.0
2011-03-03,0.9001,0.0,0.906,0.094
2011-03-04,0.0,0.0,1.0,0.0
2011-03-05,0.0,0.0,1.0,0.0
2011-03-06,0.0,0.0,1.0,0.0
2011-03-07,-0.5267,0.02,0.98,0.0
2011-03-08,0.0,0.0,1.0,0.0
2011-03-15,0.7964,0.0,0.968,0.032
2011-03-16,0.4404,0.0,0.938,0.062
2011-03-17,0.0,0.0,1.0,0.0
2011-03-18,0.6369,0.0,0.915,0.085
2011-03-19,0.765,0.0,0.852,0.14800000000000002
2011-03-20,0.5106,0.0,0.769,0.231
2011-03-21,0.7003,0.0,0.909,0.091
2011-03-22,0.8126,0.0,0.848,0.152
